id,work_order_id,well_id,well_type,created_at,rul_days,urgency,priority,predicted_failure,capability,details,status,closed_at,closed_by
2,WO-07F8D397-20260608103207,07f8d397-5be8-11f0-8aff-f91c9dc0ec5c,Gas lift,2026-06-08 10:32:09,7.0,NORMAL OPERATION,P1-CRITICAL,2026-06-15,Anomaly Detection,,OPEN,,
1,WO-07F8D397-20260608103058,07f8d397-5be8-11f0-8aff-f91c9dc0ec5c,Gas lift,2026-06-08 10:30:59,7.0,NORMAL OPERATION,P1-CRITICAL,2026-06-15,Anomaly Detection,,OPEN,,
